source,target
6460946,34198693
6460946,34941368
6460946,36663449
6460946,36700091
6460946,36723137
6460946,36857763
6460946,37760676
6460946,38628254
6460946,39898172
6460946,39925371
6460946,40888301
6460946,41705456
6460946,44224195
6460946,45501144
6460946,46554708
6460946,51172154
6460946,52059387
6460946,57352697
6460946,57370885
6460946,57746253
6460946,58254886
6460946,59071465
6460946,60470048
6460946,61516095
6460946,61909259
6460946,63464798
6460946,64141235
6460946,65540428
6460946,66318508
6460946,69678839
6460946,69860540
6460946,71138338
6460946,71940075
6460946,75922865
6460946,76459723
6460946,77882172
6460946,82570863
6460946,84266521
6460946,84954860
6460946,85219864
6460946,88780390
6460946,90164991
6460946,91257552
6460946,97155607
6460946,99521939
6460946,102101354
6460946,102433198
6460946,104687823
6460946,105003082
6460946,105887918
6460946,112404778
6460946,118020855
6460946,122434627
6460946,127991927
6460946,132025373
6460946,136387930
6460946,136646797
6460946,136854521
6460946,138966468
6460946,139165042
6460946,139318850
6460946,140164710
6460946,141154029
6460946,142402474
6460946,142434776
6460946,143572108
6460946,144971831
6460946,145775784
6460946,146379565
6460946,146718542
6460946,146743085
6460946,149419669
6460946,150909608
6460946,150931133
6460946,151139206
6460946,155188002
6460946,155216749
6460946,155367398
6460946,157315542
6460946,159856123
6460946,160412843
6460946,160589878
6460946,161258340
6460946,161753742
6460946,164430761
6460946,166131487
6460946,174023889
6460946,177781349
6460946,189771598
6460946,191294298
6460946,197189772
6460946,198109223
6460946,198326069
6460946,200083959
6460946,200770515
6460946,202337326
6460946,203914472
6460946,208849732
6460946,209730514
6460946,217308256
6460946,220086654
6460946,221844845
6460946,224175809
6460946,224772498
6460946,226538594
6460946,242940766
6460946,255561942
6460946,256836791
6460946,261365514
6460946,263123623
6460946,266009768
6460946,266543921
6460946,268515994
6460946,269057501
6460946,270468912
6460946,273759168
6460946,276277581
6460946,287548186
6460946,288339986
6460946,289836665
6460946,290600915
6460946,291200654
6460946,304015036
6460946,304082791
6460946,304332997
6460946,305587980
6460946,310916163
6460946,319982925
6460946,325453996
6460946,328102589
6460946,337813498
6460946,345803190
6460946,349090508
6460946,352560621
6460946,361169109
6460946,364253851
6460946,366292091
6460946,382820371
6460946,388931035
6460946,395280987
6460946,397570580
6460946,400355102
6460946,409986102
6460946,412622064
6460946,412700732
6460946,430597097
6460946,432031592
6460946,433976889
6460946,441615849
6460946,453068363
6460946,466997733
6460946,468783432
6460946,480810601
6460946,489505301
6460946,501689537
6460946,516820935
6460946,520782430
6460946,528372635
6460946,531124824
6460946,540988007
6460946,549158116
6460946,560292915
6460946,570795438
6460946,576675487
6460946,579499567
6460946,580625260
6460946,584537886
6460946,584831794
6460946,585147555
6460946,597061106
6460946,600475377
6460946,617594983
6460946,619913601
6460946,622006479
6460946,638054818
6460946,640116130
6460946,640248007
6460946,646848667
6460946,664446546
6460946,671470804
6460946,675108674
6460946,677940752
6460946,680140721
6460946,690830367
6460946,693822393
6460946,696952622
6460946,697174358
6460946,710263386
6460946,710297191
6460946,710348811
6460946,710448710
6460946,710652269
6460946,710677108
6460946,717882124
6460946,718439781
6460946,738983157
6460946,741571428
6460946,751582563
6460946,761944564
6460946,774967241
6460946,787030356
6460946,789431820
6460946,801971308
6460946,804180531
9789526,206405
9789526,359436
9789526,806871
9789526,1167519
9789526,1410895
9789526,1510213
9789526,1676110
9789526,2066754
9789526,2222849
9789526,2231943
9789526,3030502
9789526,3320454
9789526,3657153
9789526,3667753
9789526,4712918
9789526,5083854
9789526,5544877
9789526,6099866
9789526,6196736
9789526,7215948
9789526,7914863
9789526,8496284
9789526,8507368
9789526,8571508
9789526,8684381
9789526,9783088
9789526,9796689
9789526,9851753
9789526,11301036
9789526,11308034
9789526,13010906
9789526,13273270
9789526,13457751
9789526,14730426
9789526,15340777
9789526,15469046
9789526,16143399
9789526,16369675
9789526,16880033
9789526,17422754
9789526,17676513
9789526,18554593
9789526,19461322
9789526,19553425
9789526,20502335
9789526,20653323
9789526,21406296
9789526,21528200
9789526,22407040
9789526,24024223
9789526,24593891
9789526,24850151
9789526,26176067
9789526,28040639
9789526,30028502
9789526,33391253
9789526,35885911
9789526,36597277
9789526,37427907
9789526,39429806
9789526,40873441
9789526,44997636
9789526,46901952
9789526,48830424
9789526,49912844
9789526,53321781
9789526,54141636
9789526,54446347
9789526,55670155
9789526,55729873
9789526,55949246
9789526,56720791
9789526,57455916
9789526,62306565
9789526,67066665
9789526,69627503
9789526,71405113
9789526,72934644
9789526,74147186
9789526,77593408
9789526,78124387
9789526,85355303
9789526,88545013
9789526,90441784
9789526,91038629
9789526,97435035
9789526,100398941
9789526,100821352
9789526,102422900
9789526,102902764
9789526,109352740
9789526,112007587
9789526,119197008
9789526,123870762
9789526,124196747
9789526,125410542
9789526,125859376
9789526,129104723
9789526,133175946
9789526,134394013
9789526,134662421
9789526,135117022
9789526,137125545
9789526,138124522
9789526,140017321
9789526,140953480
9789526,141266545
9789526,144449821
9789526,144660910
9789526,148012054
9789526,151328013
9789526,152848438
9789526,154919371
9789526,156364542
9789526,156738688
9789526,160497600
9789526,161253368
9789526,163608078
9789526,164377688
9789526,165513497
9789526,165619506
9789526,166008303
9789526,166148577
9789526,166196289
9789526,166844967
9789526,166878138
9789526,168420730
9789526,168726400
9789526,169059207
9789526,169969786
9789526,170849940
9789526,174008616
9789526,174458093
9789526,176819748
9789526,178016631
9789526,179448972
9789526,182254745
9789526,182359076
9789526,187295497
9789526,187782401
9789526,190328252
9789526,191403867
9789526,193451780
9789526,197981859
9789526,199403833
9789526,203076363
9789526,203275191
9789526,204336256
9789526,206323574
9789526,208083399
9789526,208970615
9789526,210517905
9789526,211975915
9789526,212747355
9789526,214382405
9789526,214535746
9789526,215007505
9789526,216819048
9789526,216836369
9789526,217333019
9789526,217585974
9789526,221052008
9789526,223845932
9789526,226270442
9789526,228696036
9789526,229932420
9789526,230144174
9789526,230880402
9789526,231751495
9789526,232598733
9789526,235208590
9789526,236092722
9789526,236769424
9789526,237023240
9789526,237303811
9789526,238730278
9789526,239700598
9789526,240395753
9789526,241040340
9789526,241193137
9789526,248929445
9789526,250863041
9789526,252519481
9789526,255833686
9789526,258604098
9789526,259286543
9789526,260901087
9789526,261038155
9789526,263082641
9789526,266146851
9789526,266282563
9789526,266920505
9789526,268717412
9789526,269189077
9789526,269242965
9789526,269435716
9789526,270612167
9789526,272613175
9789526,273114650
9789526,274683825
9789526,277958130
9789526,286904761
9789526,287803700
9789526,287944833
9789526,288388732
9789526,291137154
9789526,294376534
9789526,302206677
9789526,302870943
9789526,304150719
9789526,305630537
9789526,310955501
9789526,322560271
9789526,324867573
9789526,331169030
9789526,339634067
9789526,345368280
9789526,345683244
9789526,348397481
9789526,355029625
9789526,355566568
9789526,368636452
9789526,369119005
9789526,376020466
9789526,377070476
9789526,380114264
9789526,387429922
9789526,397520730
9789526,397902829
9789526,402133322
9789526,404732133
9789526,408496785
9789526,409425763
9789526,410816450
9789526,420784838
9789526,422648564
9789526,424982591
9789526,434263465
9789526,458214545
9789526,461838234
9789526,463788448
9789526,466358941
9789526,469126496
9789526,481839820
9789526,501060283
9789526,512762373
9789526,516833456
9789526,540133900
9789526,550341586
9789526,558205788
9789526,574599320
9789526,575169629
9789526,594275809
9789526,612560348
9789526,618056925
9789526,620096038
9789526,631020341
